Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Group Authors,Group Authors_Count
,,,,"Lux Hoppe, Estevam G.",1,,,,,,,,,,,SMITHSONIAN TROPICAL RESEARCH INSTITUTE,1,,,,,,,,,,,,,,,,,,
,,,,"Cerboncini, Ricardo",1,,,,,,,,,,,SORBONNE UNIVERSITE,1,,,,,,,,,,,,,,,,,,
,,,,"Braga, Talita Vieira",1,,,,,,,,,,,SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY CAS,1,,,,,,,,,,,,,,,,,,
,,,,"Korpelainen, Helena",1,,,,,,,,,,,SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE,1,,,,,,,,,,,,,,,,,,
,,,,"Munhoz, Alexandre Dias",1,,,,,,,,,,,SOUTHERN ILLINOIS UNIVERSITY SYSTEM,1,,,,,,,,,,,,,,,,,,
,,,,"Jansa, Sharon",1,,,,,,,,,,,STATE UNIVERSITY SYSTEM OF FLORIDA,1,,,,,,,,,,,,,,,,,,
,,,,"Wai, Tak-Cheung",1,,,,,,,,,,,UK CENTRE FOR ECOLOGY HYDROLOGY UKCEH,1,,,,,,,,,,,,,,,,,,
,,,,"Graipel, Maurício",1,,,,,,,,,,,UNITED STATES DEPARTMENT OF AGRICULTURE USDA,1,,,,,,,,,,,,,,,,,,
,,,,"CATANESE, GAETANO",1,,,,,,,,,,,UNITED STATES ENVIRONMENTAL PROTECTION AGENCY,1,,,,,,,,,,,,,,,,,,
,,,,Jesus Maldonado,1,,,,,,,,,,,UNIV AGR SCI,1,,,,,,,,,,,,,,,,,,
,,,,Ana Cláudia Delciellos,1,,,,,,,,,,,UNIV LUTERANA,1,,,,,,,,,,,,,,,,,,
,,,,"Acardi, Soraya",1,,,,,,,,,,,UNIV NACL MISIONES,1,,,,,,,,,,,,,,,,,,
,,,,"Andrades-Miranda, Jaqueline",1,,,,,,,,,,,UNIVERSIDAD CATOLICA DEL NORTE,1,,,,,,,,,,,,,,,,,,
,,,,"Van Mourik, Tom",1,,,,,,,,,,,UNIVERSIDAD DE CONCEPCION,1,,,,,,,,,,,,,,,,,,
,,,,"Leung, Frederick Chi Ching",1,,,,,,,,,,,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,1,,,,,,,,,,,,,,,,,,
,,,,"Geise, Lena",1,,,,,,,,,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,1,,,,,,,,,,,,,,,,,,
,,,,"Axtner, Jan",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DE CAMPINAS,1,,,,,,,,,,,,,,,,,,
,,,,"Leung, Kenneth M. Y.",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DE LONDRINA,1,,,,,,,,,,,,,,,,,,
,,,,"Andree, Karl B.",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DO OESTE DO PARANA,1,,,,,,,,,,,,,,,,,,
,,,,"Szabó, Matias Pablo Juan PJ",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO AMERICANA,1,,,,,,,,,,,,,,,,,,
,,,,"samadi, sarah",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DA PARAIBA,1,,,,,,,,,,,,,,,,,,
,,,,"Camargo, Zoilo P",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE GOIAS,1,,,,,,,,,,,,,,,,,,
,,,,"Gomez, Benjamin",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE LAVRAS,1,,,,,,,,,,,,,,,,,,
,,,,"Govers, Francine",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SANTA MARIA UFSM,1,,,,,,,,,,,,,,,,,,
,,,,"Hong, Yan",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SAO PAULO UNIFESP,1,,,,,,,,,,,,,,,,,,
,,,,"Zanata, Thais Bastos",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE UBERLANDIA,1,,,,,,,,,,,,,,,,,,
,,,,"Duncan, Neil",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,1,,,,,,,,,,,,,,,,,,
,,,,"Leblois, Raphael",1,,,,,,,,,,,UNIVERSITE DE MONTPELLIER,1,,,,,,,,,,,,,,,,,,
,,,,"Daunt, Francis",1,,,,,,,,,,,UNIVERSITY HOHENHEIM,1,,,,,,,,,,,,,,,,,,
,,,,"Bernardi, Itiberê",1,,,,,,,,,,,UNIVERSITY OF ABERDEEN,1,,,,,,,,,,,,,,,,,,
,,,,"Heming, Neander",1,,,,,,,,,,,UNIVERSITY OF AGRICULTURAL SCIENCES BANGALORE,1,,,,,,,,,,,,,,,,,,
